 0.101222945668836758E+00;   0.697210964108880038E+01;   0.101222945668836758E+00;   0.200039970784970073E+00;   
 0.106735573691840405E+00;   0.661304478917811167E+01;   0.106735573691840405E+00;   0.199961278424997557E+00;   
 0.113086683608846619E+00;   0.624371202225791766E+01;   0.113086683608846619E+00;   0.199932480339077873E+00;   
 0.118601912422497222E+00;   0.595132255889016637E+01;   0.118601912422497222E+00;   0.200060841055409527E+00;   
 0.124428083850549487E+00;   0.567518751723758097E+01;   0.124428083850549487E+00;   0.199925517359814786E+00;   
 0.130449878280314402E+00;   0.540965103424008475E+01;   0.130449878280314402E+00;   0.200014694713933711E+00;   
 0.136749465296137490E+00;   0.516125970059207084E+01;   0.136749465296137490E+00;   0.199969492670121374E+00;   
 0.141851695458907218E+00;   0.497545391809857040E+01;   0.141851695458907218E+00;   0.200049466608465842E+00;   
 0.148254146411056470E+00;   0.476001419637887935E+01;   0.148254146411056470E+00;   0.200019828949514589E+00;   
 0.154417533064038492E+00;   0.457310297125067500E+01;   0.154417533064038492E+00;   0.199924175905504597E+00;   
 0.162475137156261329E+00;   0.435126428336798288E+01;   0.162475137156261329E+00;   0.199868379340430308E+00;   
 0.167547947490763738E+00;   0.421266517353712278E+01;   0.167547947490763738E+00;   0.200058359111052270E+00;   
 0.172658460575804085E+00;   0.408964387339587798E+01;   0.172658460575804085E+00;   0.199929418027489730E+00;   
 0.178919298771316709E+00;   0.394439050581153472E+01;   0.178919298771316709E+00;   0.200037008293354190E+00;   
 0.184527491392386611E+00;   0.382518764497851604E+01;   0.184527491392386611E+00;   0.199960468766397503E+00;   
 0.190248643977326687E+00;   0.370959784377074842E+01;   0.190248643977326687E+00;   0.199981263189890790E+00;   
 0.195393155810899610E+00;   0.361166377713160358E+01;   0.195393155810899610E+00;   0.200022047465962804E+00;   
 0.202249831688509601E+00;   0.350599779239496856E+01;   0.202249831688509601E+00;   0.199778380629526631E+00;   
 0.208069485057961134E+00;   0.339209517328535748E+01;   0.208069485057961134E+00;   0.199971036254059459E+00;   
 0.214286044276168347E+00;   0.329462687499302476E+01;   0.214286044276168347E+00;   0.200081614673436714E+00;   
 0.220200154321943148E+00;   0.320484140667058481E+01;   0.220200154321943148E+00;   0.200029110969235924E+00;   
 0.226162150907728843E+00;   0.312084253091546193E+01;   0.226162150907728843E+00;   0.200057150669786354E+00;   
 0.233834891623771801E+00;   0.302230631073769551E+01;   0.233834891623771801E+00;   0.200140375553735983E+00;   
 0.239747375808030849E+00;   0.295014125962873974E+01;   0.239747375808030849E+00;   0.200171902012031361E+00;   
 0.246020797420632764E+00;   0.287169015793698623E+01;   0.246020797420632764E+00;   0.200125489697531106E+00;   
 0.252812668015122533E+00;   0.279248446073787582E+01;   0.252812668015122533E+00;   0.200079625096804881E+00;   
 0.257818708502474347E+00;   0.274348520108279770E+01;   0.257818708502474347E+00;   0.199850028905610877E+00;   
 0.263277264679404488E+00;   0.268334181840211272E+01;   0.263277264679404488E+00;   0.199900393938887450E+00;   
 0.268466478732084679E+00;   0.263589168783869576E+01;   0.268466478732084679E+00;   0.200189010092262726E+00;   
 0.274701100727816394E+00;   0.256918177288293448E+01;   0.274701100727816394E+00;   0.200045067707896818E+00;   
 0.280287223006082997E+00;   0.251781969501496006E+01;   0.280287223006082997E+00;   0.200031735538453270E+00;   
 0.285515001375221233E+00;   0.247453712109065993E+01;   0.285515001375221233E+00;   0.199896538302399229E+00;   
 0.291072534987561582E+00;   0.242470919985068889E+01;   0.291072534987561582E+00;   0.199976338949666071E+00;   
 0.299803631074622268E+00;   0.235515443735214403E+01;   0.299803631074622268E+00;   0.200091393049655508E+00;   
 0.306652111113204562E+00;   0.230605655000995213E+01;   0.306652111113204562E+00;   0.200165177594328142E+00;   
 0.312644728368047575E+00;   0.225716193227463346E+01;   0.312644728368047575E+00;   0.200006124253000295E+00;   
 0.318222406299525640E+00;   0.221760982089241887E+01;   0.318222406299525640E+00;   0.200002521978958098E+00;   
 0.324287386698859703E+00;   0.217630338433515558E+01;   0.324287386698859703E+00;   0.200042746052872616E+00;   
 0.329829538414518675E+00;   0.214201052371955969E+01;   0.329829538414518675E+00;   0.200125689519233291E+00;   
 0.336839511450664875E+00;   0.209502760312756209E+01;   0.336839511450664875E+00;   0.200009622182231533E+00;   
 0.343448999435933877E+00;   0.205511541370465567E+01;   0.343448999435933877E+00;   0.200059029239467029E+00;   
 0.349474332330339865E+00;   0.201999001946354406E+01;   0.349474332330339865E+00;   0.200074630533724124E+00;   
 0.355332962932660867E+00;   0.198611223975391216E+01;   0.355332962932660867E+00;   0.199985432288758230E+00;   
 0.361589365419935527E+00;   0.195200287218911317E+01;   0.361589365419935527E+00;   0.199965176116348203E+00;   
 0.369128012889020585E+00;   0.191177256707807763E+01;   0.369128012889020585E+00;   0.200015819381517634E+00;   
 0.374289797492152576E+00;   0.188573724004179577E+01;   0.374289797492152576E+00;   0.200056394952017741E+00;   
 0.381470687986523838E+00;   0.185067742368397536E+01;   0.381470687986523838E+00;   0.200080065215191227E+00;   
 0.390092625573140506E+00;   0.180903439259788401E+01;   0.390092625573140506E+00;   0.200018917786187050E+00;   
 0.396671382253527771E+00;   0.177970323662501650E+01;   0.396671382253527771E+00;   0.199946096685357788E+00;   
 0.402281718057389215E+00;   0.175421351358228117E+01;   0.402281718057389215E+00;   0.200013735385074470E+00;   
 0.407845538637522320E+00;   0.173303591754053343E+01;   0.407845538637522320E+00;   0.199877688814973448E+00;   
 0.413018473362351757E+00;   0.170863455053990854E+01;   0.413018473362351757E+00;   0.199999219536291822E+00;   
 0.418916773332990156E+00;   0.168498482874699795E+01;   0.418916773332990156E+00;   0.199958012487045256E+00;   
 0.426962749346942727E+00;   0.165341901626044341E+01;   0.426962749346942727E+00;   0.200076347118284814E+00;   
 0.432283410193413375E+00;   0.163256569411005303E+01;   0.432283410193413375E+00;   0.199985456979534820E+00;   
 0.439178228578792795E+00;   0.160865728716475909E+01;   0.439178228578792795E+00;   0.199898656481982240E+00;   
 0.445833732636934210E+00;   0.158287078738023856E+01;   0.445833732636934210E+00;   0.199999504581364035E+00;   
 0.452304175300206335E+00;   0.156057721593502752E+01;   0.452304175300206335E+00;   0.200063594055781308E+00;   
 0.458083638101497048E+00;   0.154070840911230489E+01;   0.458083638101497048E+00;   0.200048767950826739E+00;   
 0.464322246581819309E+00;   0.152180148834321471E+01;   0.464322246581819309E+00;   0.199890525099837207E+00;   
 0.471168271705982689E+00;   0.149774564789449571E+01;   0.471168271705982689E+00;   0.200005520324135544E+00;   
 0.482047043758115634E+00;   0.146765210497677412E+01;   0.482047043758115634E+00;   0.199842499829191445E+00;   
 0.488223490081198586E+00;   0.144547842538246041E+01;   0.488223490081198586E+00;   0.199990329656561244E+00;   
 0.495269602046663537E+00;   0.142512681792461660E+01;   0.495269602046663537E+00;   0.199965432291171918E+00;   
 0.501235458572081627E+00;   0.140839354647015780E+01;   0.501235458572081627E+00;   0.199948650933176930E+00;   
 0.508169578127194099E+00;   0.139051553916227744E+01;   0.508169578127194099E+00;   0.200133792982064462E+00;   
 0.513766758714839233E+00;   0.137392828946293144E+01;   0.513766758714839233E+00;   0.200067045442356484E+00;   
 0.520649828271267157E+00;   0.135764536831344440E+01;   0.520649828271267157E+00;   0.200148653767298901E+00;   
 0.529305862170207697E+00;   0.133497872941207829E+01;   0.529305862170207697E+00;   0.199890143965143458E+00;   
 0.536702859394172949E+00;   0.131906659893121181E+01;   0.536702859394172949E+00;   0.200202029055495223E+00;   
 0.546073704391924708E+00;   0.129515866232832644E+01;   0.546073704391924708E+00;   0.200170062446284908E+00;   
 0.559041608386356303E+00;   0.126472370745775908E+01;   0.559041608386356303E+00;   0.200158560158325394E+00;   
 0.568566187225493236E+00;   0.124120505558703909E+01;   0.568566187225493236E+00;   0.199994135597793804E+00;   
 0.578580954321869290E+00;   0.121987227265343301E+01;   0.578580954321869290E+00;   0.199970380128380726E+00;   
 0.594700661956884868E+00;   0.118684072215511338E+01;   0.594700661956884868E+00;   0.200056886024943814E+00;   
 0.606168992932802131E+00;   0.116443476281906855E+01;   0.606168992932802131E+00;   0.199961737148178442E+00;   
 0.622583529952879910E+00;   0.113694122834198974E+01;   0.622583529952879910E+00;   0.199826086862444463E+00;   
 0.634229546530074462E+00;   0.111343060981182251E+01;   0.634229546530074462E+00;   0.200099682662851247E+00;   
 0.654099436524291367E+00;   0.107975387845977422E+01;   0.654099436524291367E+00;   0.199915544881718615E+00;   
 0.660837724228479972E+00;   0.106905799892858955E+01;   0.660837724228479972E+00;   0.199899608949536844E+00;   
 0.672853956726621627E+00;   0.104883634870675135E+01;   0.672853956726621627E+00;   0.200032131144830982E+00;   
 0.693155407063983819E+00;   0.101814224954242039E+01;   0.693155407063983819E+00;   0.199985536198470482E+00;   
 0.704275649738567155E+00;   0.100217630149295411E+01;   0.704275649738567155E+00;   0.200055700226407979E+00;   
 0.725233130601321663E+00;   0.973117564875235375E+00;   0.725233130601321663E+00;   0.199983682844201371E+00;   
 0.735602097254969056E+00;   0.959470945292713706E+00;   0.735602097254969056E+00;   0.199971561342971033E+00;   
 0.758835645788176194E+00;   0.930316123780755344E+00;   0.758835645788176194E+00;   0.200077417510009042E+00;   
 0.775608938057609110E+00;   0.910460290291165708E+00;   0.775608938057609110E+00;   0.200098817642885257E+00;   
 0.799978472739488300E+00;   0.883368731274390639E+00;   0.799978472739488300E+00;   0.199886008140687632E+00;   
 0.811478779159454766E+00;   0.869722892215264332E+00;   0.811478779159454766E+00;   0.199977389209591350E+00;   
 0.829745836913617030E+00;   0.850910180070359679E+00;   0.829745836913617030E+00;   0.199936786017304802E+00;   
 0.841183273216243643E+00;   0.839052426558252407E+00;   0.841183273216243643E+00;   0.200053552961789366E+00;   
 0.857825963644983536E+00;   0.824154603628966531E+00;   0.857825963644983536E+00;   0.200155695630862412E+00;   
 0.871576551747832995E+00;   0.809889378688184558E+00;   0.871576551747832995E+00;   0.200067321013364746E+00;   
 0.885205427416130841E+00;   0.797364715352523068E+00;   0.885205427416130841E+00;   0.200059742049012751E+00;   
 0.904362459224969051E+00;   0.781800007992534796E+00;   0.904362459224969051E+00;   0.200158418267616961E+00;   
 0.916984181847495639E+00;   0.769625134586383042E+00;   0.916984181847495639E+00;   0.199984557642171629E+00;   
 0.931600770321426519E+00;   0.757501506669701619E+00;   0.931600770321426519E+00;   0.200016157831117147E+00;   
 0.953436549265351596E+00;   0.740770696972862464E+00;   0.953436549265351596E+00;   0.200108962149621178E+00;   
 0.972845349305254681E+00;   0.726226906506566960E+00;   0.972845349305254681E+00;   0.199897305062618352E+00;   
 0.999459242850520457E+00;   0.706195701061535841E+00;   0.999459242850520457E+00;   0.200056682925282309E+00;   
